trial	timestamp	label	score	convergence_rate	avg_iterations	duration_sec	notes
0	2026-03-21T18:28:16Z	reduced_baseline	6	0.00	2.0	3266	completed=6 converged=0 runs=12
0	2026-03-21T21:34:37Z	full_baseline	37	0.00	4.0	11087	completed=37 converged=0 runs=37
1	2026-03-22T01:48:26Z	trial_1	43	0.07	4.0	1739	completed=40 converged=3 runs=40
2	2026-03-22T01:58:58Z	trial_2	80	1.00	2.0	595	completed=40 converged=40 runs=40
3	2026-03-22T02:10:54Z	trial_3	80	1.00	2.0	596	completed=40 converged=40 runs=40
0	2026-03-22T06:34:56Z	quality_baseline	19	0.00	3.7	804	completed=11 converged=0 quality=8 runs=12 small-change: 9/9 checkpoints across 3 runs; bug-fix: 9/9 checkpoints across 3 runs; new-feature: 2/9 checkpoints across 3 runs; greenfield: 7/8 checkpoints across 3 runs; 
0	2026-03-22T06:35:47Z	quality_baseline	19	0.00	3.7	849	completed=11 converged=0 quality=8 runs=12 small-change: 9/9 checkpoints across 3 runs; bug-fix: 9/9 checkpoints across 3 runs; new-feature: 2/9 checkpoints across 3 runs; greenfield: 7/8 checkpoints across 3 runs; 
1	2026-03-22T07:05:29Z	trial_1	74	0.00	4.0	1658	completed=40 converged=0 quality=34 runs=40 small-change: 26/30 checkpoints across 10 runs; bug-fix: 23/30 checkpoints across 10 runs; new-feature: 14/30 checkpoints across 10 runs; greenfield: 38/40 checkpoints across 10 runs; 
2	2026-03-22T07:16:09Z	trial_2	100	1.00	2.0	581	completed=40 converged=40 quality=20 runs=40 small-change: 20/30 checkpoints across 10 runs; bug-fix: 17/30 checkpoints across 10 runs; new-feature: 8/30 checkpoints across 10 runs; greenfield: 17/40 checkpoints across 10 runs; 
3	2026-03-22T07:28:26Z	trial_3	98	1.00	2.0	616	completed=40 converged=40 quality=18 runs=40 small-change: 20/30 checkpoints across 10 runs; bug-fix: 13/30 checkpoints across 10 runs; new-feature: 10/30 checkpoints across 10 runs; greenfield: 16/40 checkpoints across 10 runs; 
4	2026-03-22T07:40:19Z	trial_4	97	1.00	2.0	593	completed=40 converged=40 quality=17 runs=40 small-change: 18/30 checkpoints across 10 runs; bug-fix: 9/30 checkpoints across 10 runs; new-feature: 10/30 checkpoints across 10 runs; greenfield: 20/40 checkpoints across 10 runs; 
5	2026-03-22T07:52:16Z	trial_5	99	1.00	2.0	597	completed=40 converged=40 quality=19 runs=40 small-change: 19/30 checkpoints across 10 runs; bug-fix: 15/30 checkpoints across 10 runs; new-feature: 9/30 checkpoints across 10 runs; greenfield: 15/40 checkpoints across 10 runs; 
1	2026-03-22T13:56:06Z	trial_1	90	0.70	3.8	1596	completed=38 converged=28 quality=24 runs=40 small-change: 20/30 checkpoints across 10 runs; bug-fix: 15/27 checkpoints across 10 runs; new-feature: 12/30 checkpoints across 10 runs; greenfield: 30/36 checkpoints across 10 runs; 
2	2026-03-22T14:15:54Z	trial_2	75	0.70	1.4	1079	completed=28 converged=28 quality=19 runs=40 small-change: 16/24 checkpoints across 10 runs; bug-fix: 14/21 checkpoints across 10 runs; new-feature: 7/18 checkpoints across 10 runs; greenfield: 23/28 checkpoints across 10 runs; 
3	2026-03-22T14:34:44Z	trial_3	81	0.78	1.6	1010	completed=31 converged=31 quality=19 runs=40 small-change: 17/27 checkpoints across 10 runs; bug-fix: 9/15 checkpoints across 10 runs; new-feature: 9/24 checkpoints across 10 runs; greenfield: 29/36 checkpoints across 10 runs; 
